epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,13523.5,1.26862,1.04732,1.18681,0.61027,0.37575,0.38265,0.17344,2.27407,1.89318,1.81013,5.71106e-05,5.71106e-05,5.71106e-05
131,13628.5,1.33242,1.07885,1.2389,0.58383,0.3618,0.37394,0.1727,2.27814,1.9015,1.81179,5.2795e-05,5.2795e-05,5.2795e-05
132,13732,1.2838,1.02751,1.22112,0.65723,0.33765,0.37271,0.1727,2.27382,1.89818,1.81166,4.86777e-05,4.86777e-05,4.86777e-05
133,13835.1,1.28755,1.01824,1.21823,0.55995,0.37157,0.37409,0.17224,2.27174,1.89195,1.81552,4.47606e-05,4.47606e-05,4.47606e-05
134,13938.3,1.26724,0.99847,1.2035,0.55398,0.37051,0.37442,0.17237,2.274,1.88798,1.82231,4.10454e-05,4.10454e-05,4.10454e-05
135,14041.7,1.24325,0.99538,1.19995,0.56095,0.36998,0.37331,0.17089,2.27206,1.88396,1.82348,3.75337e-05,3.75337e-05,3.75337e-05
136,14145,1.24607,0.99977,1.19119,0.6621,0.3416,0.37274,0.16964,2.27609,1.88638,1.82884,3.4227e-05,3.4227e-05,3.4227e-05
137,14248.2,1.24635,0.9825,1.2013,0.66939,0.33772,0.37172,0.17135,2.27591,1.88167,1.82932,3.11268e-05,3.11268e-05,3.11268e-05
138,14351.5,1.24489,0.99756,1.20681,0.66315,0.33733,0.3742,0.17011,2.27767,1.87688,1.8317,2.82345e-05,2.82345e-05,2.82345e-05
139,14455,1.23624,0.98255,1.1888,0.66336,0.34411,0.37764,0.16994,2.27882,1.88045,1.83355,2.55513e-05,2.55513e-05,2.55513e-05
140,14558.5,1.21363,0.96306,1.18841,0.67262,0.35529,0.39104,0.17281,2.27654,1.87714,1.83316,2.30784e-05,2.30784e-05,2.30784e-05
141,14661.6,1.23425,0.98699,1.19356,0.67385,0.34965,0.38797,0.17356,2.27818,1.87719,1.83488,2.08169e-05,2.08169e-05,2.08169e-05
142,14764.8,1.23919,0.98657,1.20002,0.68336,0.34796,0.38924,0.17513,2.27833,1.87516,1.83615,1.87678e-05,1.87678e-05,1.87678e-05
143,14868.3,1.21166,0.96593,1.18747,0.7088,0.34752,0.38885,0.17532,2.27764,1.87438,1.83655,1.6932e-05,1.6932e-05,1.6932e-05
144,14971.8,1.22965,0.97789,1.18331,0.5452,0.39316,0.38973,0.17525,2.27818,1.87199,1.83669,1.53102e-05,1.53102e-05,1.53102e-05
145,15074.8,1.22913,0.9675,1.18403,0.55861,0.39013,0.38988,0.17418,2.27736,1.87289,1.83609,1.39032e-05,1.39032e-05,1.39032e-05
146,15177.6,1.23259,0.98742,1.1935,0.56331,0.39013,0.3906,0.17361,2.27799,1.87137,1.83657,1.27117e-05,1.27117e-05,1.27117e-05
147,15281,1.23972,1.00184,1.19368,0.57639,0.39314,0.39578,0.17468,2.27598,1.8718,1.83607,1.1736e-05,1.1736e-05,1.1736e-05
148,15384.6,1.23198,0.97853,1.18951,0.58707,0.40241,0.39495,0.17343,2.27821,1.86982,1.83812,1.09768e-05,1.09768e-05,1.09768e-05
149,15488.4,1.23936,0.98395,1.19354,0.58692,0.40422,0.39553,0.17317,2.27837,1.86951,1.83879,1.04342e-05,1.04342e-05,1.04342e-05
150,15591.8,1.25257,0.98421,1.19049,0.58083,0.39956,0.39493,0.17371,2.27925,1.86637,1.83963,1.01086e-05,1.01086e-05,1.01086e-05
